Lengua,Estado,Municipio,Localidad,HLI,Hombres,Mujeres,Latitud ,Longitud
amuzgo,Guerrero,Ometepec,Santa Cruz Teconte (El Teconte),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Santa María (Santa María Asunción),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Tierra Blanca,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Tierra Colorada,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Villa Hidalgo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Vista Hermosa,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Zacoalpan,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,Zapotales,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Ometepec,,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Arroyo Comején,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Arroyo Escondido,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Arroyo Lana,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Arroyo Mina,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Arroyo Pájaro Colorado,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Arroyo Tortolita,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Casa Real,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Chuchupaste,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Cruz Alta,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,El Aguacate (Camino a Xochistlahuaca),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,El Camalote (La Junta),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,El Frutillo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Huehuetónoc,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Las Minas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Llano el Limón,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Loma de la Marina,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Papaloapan,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Rancho Cuananchinicha,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,San Cristóbal,as,as,as,sin datos ,sin datos 
