Lengua,Estado,Municipio,Localidad,HLI,Hombres,Mujeres,Latitud ,Longitud,Loc
náhuatl,Veracruz De Ignacio De La Llave,Zongolica,adolfo ruiz cortines,,,,,,Adolfo Ruiz Cortines
náhuatl,Hidalgo,Calnali,agiladero,,,,,,Agiladero
náhuatl,Puebla,San Sebastián Tlacotepec,agua azul,,,,,,Agua Azul
náhuatl,Puebla,Huauchinango,agua blanca,,,,,,Agua Blanca
náhuatl,Puebla,Ayotoxco de Guerrero,agua bonita,,,,,,Agua Bonita
náhuatl,Durango,Mezquital,agua caliente,,,,,,Agua Caliente
náhuatl,Michoacán De Ocampo,Aquila,agua caliente (la piña),,,,,,Agua Caliente (La Piña)
náhuatl,Veracruz De Ignacio De La Llave,Maltrata,agua cercada,,,,,,Agua Cercada
náhuatl,San Luis Potosí,Xilitla,agua de cuayo,,,,,,Agua de Cuayo
náhuatl,Michoacán De Ocampo,Aquila,agua del tejon,,,,,,Agua del Tejón
náhuatl,Veracruz De Ignacio De La Llave,Tezonapa,agua escondida,,,,,,Agua Escondida
náhuatl,San Luis Potosí,Xilitla,agua fierro,,,,,,Agua Fierro
náhuatl,Durango,Mezquital,agua fria,,,,,,Agua Fría
náhuatl,Guerrero,Chilapa de Álvarez,agua fria,,,,,,Agua Fría
náhuatl,Michoacán De Ocampo,Coahuayana,agua fria,,,,,,Agua Fría
náhuatl,Puebla,Ahuacatlán,agua fria,,,,,,Agua Fría
náhuatl,San Luis Potosí,Tampamolón Corona,agua fria,,,,,,Agua Fría
náhuatl,San Luis Potosí,Xilitla,agua fria,,,,,,Agua Fría
náhuatl,Veracruz De Ignacio De La Llave,Zontecomatlán de López y Fuentes,agua fria,,,,,,Agua Fría
náhuatl,San Luis Potosí,Axtla de Terrazas,agua fria dos,,,,,,Agua Fría Dos
náhuatl,Veracruz De Ignacio De La Llave,Zontecomatlán de López y Fuentes,agua hedionda,,,,,,Agua Hedionda
náhuatl,Veracruz De Ignacio De La Llave,Texcatepec,agua linda,,,,,,Agua Linda
náhuatl,Puebla,Coxcatlán,agua muchil (los mochis),,,,,,Agua Múchil (Los Mochis)
náhuatl,Veracruz De Ignacio De La Llave,Álamo Temapache,agua nacida,,,,,,Agua Nacida
náhuatl,Veracruz De Ignacio De La Llave,Tempoal,agua nueva,,,,,,Agua Nueva
náhuatl,Puebla,San Sebastián Tlacotepec,agua prieta,,,,,,Agua Prieta
náhuatl,San Luis Potosí,Xilitla,agua puerca,,,,,,Agua Puerca
náhuatl,Nayarit,Acaponeta,agua tendida,,,,,,Agua Tendida
náhuatl,Guerrero,Ahuacuotzingo,agua zarca,,,,,,Agua Zarca
náhuatl,Guerrero,Chilapa de Álvarez,agua zarca,,,,,,Agua Zarca
náhuatl,Guerrero,José Joaquín de Herrera,agua zarca,,,,,,Agua Zarca
náhuatl,Puebla,Hueytamalco,agua zarca,,,,,,Agua Zarca
náhuatl,Veracruz De Ignacio De La Llave,Álamo Temapache,agua zarca,,,,,,Agua Zarca
náhuatl,Veracruz De Ignacio De La Llave,Álamo Temapache,aguacate de vinazco,,,,,,Aguacate de Vinazco
náhuatl,San Luis Potosí,San Martín Chalchicuahutla,aguacate segundo (anexo al carrizo),,,,,,Aguacate Segundo (Anexo al Carrizo)
náhuatl,Hidalgo,Huejutla de Reyes,aguacatitla,,,,,,Aguacatitla
náhuatl,Hidalgo,Jaltocan,aguacatitla,,,,,,Aguacatitla
náhuatl,Hidalgo,Yahualica,aguacatitla,,,,,,Aguacatitla
náhuatl,San Luis Potosí,Matlapa,aguacatitla,,,,,,Aguacatitla
náhuatl,Veracruz De Ignacio De La Llave,Platón Sánchez,aguacatzintla,,,,,,Aguacatzintla
náhuatl,Veracruz De Ignacio De La Llave,Acultzingo,aguachinola,,,,,,Aguachinola
náhuatl,San Luis Potosí,Tancanhuitz,aguacpa,,,,,,Aguacpa
náhuatl,San Luis Potosí,San Martín Chalchicuahutla,aguamolo,,,,,,Aguamolo
náhuatl,Veracruz De Ignacio De La Llave,Chiconamel,aguapani,,,,,,Aguapani
náhuatl,Guerrero,Cualac,aguaxotla (pueblo viejo),,,,,,Aguaxotla (Pueblo Viejo)
náhuatl,San Luis Potosí,Tamazunchale,aguazarca,,,,,,Aguazarca
náhuatl,Veracruz De Ignacio De La Llave,Ixhuatlán de Madero,agustin melgar,,,,,,Agustín Melgar
náhuatl,Puebla,Pahuatlán,ahila,,,,,,Ahila
náhuatl,Veracruz De Ignacio De La Llave,Platón Sánchez,ahitic,,,,,,Ahitic
náhuatl,Hidalgo,Huejutla de Reyes,ahuacaixpa,,,,,,Ahuacaixpa
náhuatl,Veracruz De Ignacio De La Llave,Ixhuatlán de Madero,ahuacapa i,,,,,,Ahuacapa I
